invoice_no,quantity,price,invoice_date,shopping_mall
I193271,3,15.69,23/12/2022,Kanyon
I985478,4,1200.32,24/01/2023,Kanyon
I200392,5,1500.4,14/09/2021,Viaport Outlet
I256691,1,40.66,4/2/2022,Metrocity
I796162,5,26.15,6/1/2022,Metrocity
I224371,5,1500.4,1/2/2022,Mall of Istanbul
I215998,5,1500.4,26/10/2022,Cevahir AVM
I338966,5,1500.4,21/09/2022,Mall of Istanbul
I293215,4,162.64,12/12/2021,Istinye Park
I149688,4,1200.32,21/08/2021,Zorlu Center
I109649,3,15.69,8/10/2021,Emaar Square Mall
I299820,3,45.45,22/11/2021,Kanyon
I157775,1,300.08,19/03/2022,Kanyon
I317140,5,58.65,19/10/2022,Istinye Park
I147334,2,600.16,12/1/2022,Viaport Outlet
I278121,4,143.36,7/6/2021,Metrocity
I134452,1,300.08,15/01/2023,Forum Istanbul
I320846,4,1200.32,11/11/2021,Kanyon
I740676,2,600.16,21/09/2022,Istinye Park
I142331,4,162.64,30/05/2021,Metrocity
I222983,1,300.08,23/12/2021,Metropol AVM
I164665,2,2100,30/04/2022,Kanyon
I133387,4,143.36,7/6/2021,Forum Istanbul
I276763,5,179.2,21/02/2022,Kanyon
I273890,3,900.24,26/08/2021,Emaar Square Mall
I774221,5,26.15,15/12/2021,Metrocity
I202171,1,300.08,20/02/2021,Mall of Istanbul
I219780,2,600.16,8/10/2021,Kanyon
I160221,3,900.24,1/8/2022,Mall of Istanbul
I106691,4,1200.32,9/9/2021,Kanyon
I129886,5,26.15,25/10/2021,Metrocity
I745394,1,5.23,14/12/2021,Metropol AVM
I157056,5,1500.4,20/06/2021,Kanyon
I304531,1,300.08,7/4/2021,Metropol AVM
I762439,4,60.6,5/12/2021,Metrocity
I300972,1,40.66,25/05/2021,Zorlu Center
I151588,3,45.45,12/4/2022,Metrocity
I657069,4,1200.32,16/12/2021,Mall of Istanbul
I122655,2,2100,21/02/2021,Metropol AVM
I236914,3,900.24,26/10/2021,Mall of Istanbul
I247471,1,35.84,18/12/2022,Mall of Istanbul
I362306,1,300.08,19/09/2022,Metrocity
I215279,2,600.16,1/2/2023,Kanyon
I216061,3,15.69,5/10/2022,Mall of Istanbul
I246375,2,81.32,28/11/2021,Kanyon
I103596,5,3000.85,3/8/2021,Kanyon
I259878,4,1200.32,12/10/2022,Metropol AVM
I206422,2,10.46,28/09/2022,Kanyon
I201704,3,15.69,12/7/2021,Metrocity
I168037,4,143.36,3/7/2021,Mall of Istanbul
I307534,4,162.64,26/03/2022,Viaport Outlet
I259196,4,143.36,17/05/2022,Cevahir AVM
I141241,5,58.65,11/4/2022,Kanyon
I289973,5,26.15,22/10/2021,Kanyon
I147203,5,203.3,20/12/2021,Istinye Park
I323788,1,300.08,17/03/2022,Metropol AVM
I285454,5,58.65,23/06/2022,Metropol AVM
I288152,3,3150,19/06/2021,Mall of Istanbul
I134126,1,300.08,30/08/2022,Istinye Park
I311052,4,1200.32,20/11/2021,Cevahir AVM
I176469,2,10.46,31/07/2021,Viaport Outlet
I167993,2,71.68,20/02/2022,Kanyon
I222086,5,1500.4,9/2/2023,Emaar Square Mall
I164597,1,300.08,24/03/2021,Mall of Istanbul
I184307,1,5.23,25/08/2022,Kanyon
I289905,4,162.64,21/10/2021,Kanyon
I416544,2,10.46,28/05/2022,Metrocity
I601026,5,58.65,5/3/2022,Zorlu Center
I257890,1,600.17,5/10/2021,Kanyon
I260028,4,1200.32,16/04/2021,Metropol AVM
I170160,2,71.68,26/02/2023,Metrocity
I624164,1,300.08,20/03/2021,Kanyon
I143353,5,58.65,15/05/2022,Metrocity
I278401,1,35.84,31/01/2023,Mall of Istanbul
I402966,4,162.64,2/10/2021,Viaport Outlet
I244241,5,1500.4,3/8/2022,Viaport Outlet
I179048,3,3150,28/03/2021,Cevahir AVM
I165202,4,162.64,21/11/2022,Mall of Istanbul
I328321,2,23.46,12/2/2021,Metropol AVM
I417106,3,900.24,3/4/2021,Cevahir AVM
I248153,1,5.23,3/7/2022,Metropol AVM
I112270,4,20.92,14/02/2021,Mall of Istanbul
I318831,4,162.64,15/07/2022,Viaport Outlet
I258322,4,1200.32,12/7/2021,Viaport Outlet
I334246,3,121.98,19/05/2022,Mall of Istanbul
I198233,4,162.64,13/02/2023,Metropol AVM
I310819,5,203.3,27/11/2022,Forum Istanbul
I409288,3,15.69,2/3/2021,Viaport Outlet
I131054,4,143.36,16/10/2021,Kanyon
I149521,2,600.16,4/11/2021,Kanyon
I156233,1,300.08,11/1/2023,Mall of Istanbul
I295784,3,121.98,8/6/2022,Forum Istanbul
I255381,4,1200.32,24/05/2021,Metrocity
I337719,5,203.3,18/01/2021,Istinye Park
I220863,4,60.6,22/07/2021,Mall of Istanbul
I530401,2,2100,25/09/2022,Zorlu Center
I219555,3,900.24,10/9/2021,Metrocity
I316629,3,35.19,16/01/2022,Cevahir AVM
I795251,5,203.3,13/11/2022,Kanyon
I151099,2,23.46,14/03/2021,Mall of Istanbul
I286193,3,121.98,23/07/2022,Istinye Park
I399563,1,35.84,24/06/2021,Metropol AVM
I229355,5,3000.85,30/01/2021,Kanyon
I147727,1,15.15,17/04/2022,Kanyon
I504141,1,40.66,23/02/2023,Kanyon
I246151,3,45.45,5/7/2021,Metropol AVM
I164675,5,75.75,31/08/2021,Kanyon
I606511,2,23.46,9/9/2022,Viaport Outlet
I342816,2,10.46,4/11/2021,Mall of Istanbul
I151764,5,1500.4,30/06/2022,Kanyon
I226172,1,600.17,24/07/2021,Kanyon
I737630,5,1500.4,15/04/2022,Metropol AVM
I891311,2,10.46,25/09/2021,Metropol AVM
I127733,5,75.75,24/08/2021,Kanyon
I202398,5,3000.85,26/01/2021,Zorlu Center
I160585,2,81.32,5/2/2022,Metropol AVM
I771414,3,15.69,9/12/2022,Forum Istanbul
I139520,5,1500.4,14/02/2021,Mall of Istanbul
I291540,1,5.23,17/07/2022,Kanyon
I798213,3,1800.51,3/1/2021,Metropol AVM
I232338,4,1200.32,22/09/2022,Metropol AVM
I267713,4,162.64,27/06/2021,Kanyon
I525798,4,162.64,3/2/2023,Mall of Istanbul
I353272,1,300.08,29/07/2021,Istinye Park
I165687,3,900.24,8/12/2022,Metropol AVM
I169015,5,1500.4,11/8/2022,Mall of Istanbul
I111305,3,15.69,13/09/2021,Metropol AVM
I187171,4,143.36,27/05/2022,Istinye Park
I148276,4,1200.32,7/12/2022,Zorlu Center
I783231,5,1500.4,5/1/2022,Cevahir AVM
I313426,4,162.64,5/4/2022,Kanyon
I112291,1,5.23,10/1/2022,Cevahir AVM
I402983,1,1050,30/01/2022,Kanyon
I155076,5,179.2,21/12/2022,Kanyon
I204056,4,1200.32,24/02/2021,Metropol AVM
I218385,1,35.84,19/07/2022,Metrocity
I198698,1,300.08,15/01/2023,Metropol AVM
I428118,2,1200.34,12/1/2023,Kanyon
I204147,3,1800.51,5/11/2022,Kanyon
I361028,2,1200.34,23/07/2021,Metrocity
I915945,4,1200.32,30/06/2022,Metropol AVM
I165461,1,300.08,1/11/2022,Emaar Square Mall
I762381,1,600.17,27/10/2022,Kanyon
I818298,5,1500.4,21/08/2022,Kanyon
I261290,3,900.24,13/03/2021,Cevahir AVM
I215578,2,81.32,4/8/2022,Kanyon
I136666,2,10.46,1/4/2021,Mall of Istanbul
I120948,4,2400.68,8/8/2021,Mall of Istanbul
I173679,3,3150,28/06/2021,Viaport Outlet
I638275,5,1500.4,25/01/2021,Emaar Square Mall
I551237,4,1200.32,22/11/2021,Metropol AVM
I239285,3,121.98,13/11/2022,Viaport Outlet
I723062,4,1200.32,12/8/2022,Kanyon
I353329,2,71.68,18/09/2022,Metrocity
I321920,4,1200.32,8/6/2021,Mall of Istanbul
I176115,4,162.64,30/08/2021,Viaport Outlet
I251743,3,107.52,19/06/2022,Kanyon
I964173,3,900.24,15/12/2022,Emaar Square Mall
I334389,2,81.32,29/12/2021,Mall of Istanbul
I251855,3,121.98,19/06/2022,Cevahir AVM
I985808,5,75.75,16/06/2021,Emaar Square Mall
I224565,1,600.17,7/2/2021,Emaar Square Mall
I239703,3,15.69,17/01/2023,Kanyon
I156413,5,203.3,20/01/2022,Metrocity
I158683,2,23.46,31/07/2022,Metrocity
I983860,1,600.17,30/09/2021,Metropol AVM
I119809,1,5.23,6/4/2022,Zorlu Center
I319942,5,203.3,14/11/2022,Mall of Istanbul
I133278,3,900.24,24/02/2021,Metrocity
I252084,4,46.92,25/05/2021,Metrocity
I182889,2,600.16,22/03/2021,Metrocity
I106271,1,300.08,22/12/2022,Mall of Istanbul
I112481,5,26.15,7/7/2021,Cevahir AVM
I240751,1,5.23,18/09/2021,Kanyon
I282789,2,81.32,18/02/2022,Istinye Park
I676291,2,10.46,13/06/2021,Metropol AVM
I827069,5,179.2,30/05/2021,Mall of Istanbul
I242823,4,1200.32,26/03/2021,Metropol AVM
I208631,2,2100,27/07/2022,Kanyon
I139308,2,23.46,6/4/2022,Emaar Square Mall
I177201,5,1500.4,4/2/2022,Forum Istanbul
I263818,4,46.92,26/06/2022,Zorlu Center
I174966,5,26.15,25/07/2022,Mall of Istanbul
I186896,1,35.84,19/09/2021,Zorlu Center
I207465,2,600.16,10/10/2022,Istinye Park
I191148,2,2100,29/03/2022,Forum Istanbul
I159487,1,300.08,9/7/2021,Emaar Square Mall
I215141,1,11.73,25/01/2022,Kanyon
I235828,5,75.75,14/12/2021,Metrocity
I281274,1,300.08,4/9/2022,Kanyon
I135898,2,71.68,14/08/2022,Metropol AVM
I943072,2,81.32,3/2/2022,Metrocity
I142738,4,1200.32,3/1/2021,Kanyon
I304665,5,26.15,5/12/2021,Metropol AVM
I133240,3,107.52,14/06/2022,Zorlu Center
I215906,4,1200.32,13/08/2021,Mall of Istanbul
I247747,2,1200.34,11/1/2022,Istinye Park
I227154,3,121.98,22/12/2021,Kanyon
I133197,2,81.32,4/2/2021,Forum Istanbul
I542618,3,121.98,22/02/2022,Emaar Square Mall
I522612,3,107.52,14/09/2021,Kanyon
I336817,1,300.08,3/8/2021,Cevahir AVM
I216982,4,46.92,2/1/2023,Metrocity
I317443,1,35.84,23/11/2022,Mall of Istanbul
I115679,1,300.08,10/1/2023,Kanyon
I227707,4,2400.68,10/1/2022,Viaport Outlet
I238456,1,5.23,6/8/2022,Kanyon
I940840,2,81.32,19/02/2023,Istinye Park
I298805,3,15.69,29/06/2021,Kanyon
I169894,2,600.16,1/7/2021,Istinye Park
I183571,1,5.23,7/2/2022,Metrocity
I921232,2,71.68,10/10/2021,Cevahir AVM
I130799,3,900.24,30/06/2021,Metrocity
I199384,4,60.6,24/03/2022,Kanyon
I300557,3,121.98,17/09/2022,Istinye Park
I162186,2,81.32,31/07/2021,Istinye Park
I299125,4,46.92,21/11/2022,Kanyon
I720017,2,10.46,4/9/2022,Kanyon
I293086,3,121.98,18/02/2021,Kanyon
I995407,3,35.19,21/03/2021,Metropol AVM
I306845,4,20.92,2/9/2022,Mall of Istanbul
I274190,3,107.52,16/06/2021,Metropol AVM
I305432,3,107.52,26/01/2023,Mall of Istanbul
I224122,5,1500.4,1/7/2022,Mall of Istanbul
I119142,5,203.3,25/01/2023,Cevahir AVM
I117526,5,203.3,23/09/2022,Emaar Square Mall
I195735,1,300.08,8/9/2021,Kanyon
I243930,3,3150,31/10/2022,Istinye Park
I320007,5,1500.4,18/10/2021,Metrocity
I339004,4,1200.32,15/07/2022,Mall of Istanbul
I139437,5,58.65,31/05/2021,Mall of Istanbul
I325491,2,1200.34,22/12/2021,Kanyon
I332582,5,58.65,28/10/2022,Metropol AVM
I976566,1,40.66,13/06/2021,Forum Istanbul
I420592,4,20.92,25/09/2022,Kanyon
I312499,1,15.15,18/08/2021,Mall of Istanbul
I304591,2,10.46,16/09/2021,Kanyon
I122118,5,203.3,15/11/2022,Metrocity
I297539,3,15.69,7/8/2021,Mall of Istanbul
I339496,1,300.08,25/05/2021,Metropol AVM
I160687,2,600.16,12/7/2022,Istinye Park
I153842,3,15.69,14/09/2022,Forum Istanbul
I615452,1,600.17,6/3/2022,Metrocity
I908600,4,162.64,23/02/2023,Forum Istanbul
I708279,3,121.98,25/06/2021,Emaar Square Mall
I328691,2,600.16,31/07/2022,Metrocity
I423782,2,81.32,8/4/2021,Mall of Istanbul
I123315,2,600.16,1/4/2021,Zorlu Center
I182578,4,2400.68,13/02/2022,Kanyon
I403818,5,75.75,15/06/2022,Viaport Outlet
I508712,3,107.52,19/07/2022,Mall of Istanbul
I959992,3,15.69,1/7/2022,Metrocity
I279688,1,300.08,19/06/2021,Cevahir AVM
I300847,5,179.2,11/1/2022,Istinye Park
I170966,5,26.15,5/12/2022,Istinye Park
I230221,1,300.08,21/04/2021,Metropol AVM
I317354,1,300.08,10/11/2021,Metropol AVM
I155404,4,143.36,19/09/2022,Metrocity
I151181,2,600.16,18/01/2021,Emaar Square Mall
I144046,1,600.17,21/04/2022,Kanyon
I959386,1,600.17,25/11/2022,Mall of Istanbul
I737965,5,1500.4,9/11/2022,Kanyon
I194017,5,5250,3/1/2022,Kanyon
I252777,2,600.16,19/02/2022,Zorlu Center
I254142,3,1800.51,15/12/2022,Emaar Square Mall
I120850,2,600.16,8/11/2021,Metrocity
I220285,4,20.92,1/5/2022,Kanyon
I180980,2,600.16,14/04/2021,Forum Istanbul
I301451,5,203.3,28/06/2021,Kanyon
I125700,5,3000.85,10/6/2022,Forum Istanbul
I533062,3,900.24,12/5/2022,Mall of Istanbul
I998874,5,1500.4,27/12/2022,Mall of Istanbul
I325619,1,5.23,16/08/2021,Kanyon
I200646,2,10.46,5/3/2021,Kanyon
I337094,1,1050,9/2/2023,Zorlu Center
I436935,4,162.64,26/02/2023,Istinye Park
I585560,2,1200.34,17/02/2023,Mall of Istanbul
I191967,5,203.3,8/8/2022,Kanyon
I304567,2,23.46,8/3/2023,Forum Istanbul
I232809,5,3000.85,2/10/2021,Metrocity
I157441,4,20.92,22/12/2021,Mall of Istanbul
I591015,1,300.08,12/9/2021,Metrocity
I219334,4,2400.68,23/03/2022,Kanyon
I162719,5,1500.4,11/12/2021,Emaar Square Mall
I237375,1,15.15,29/12/2022,Istinye Park
I289611,3,900.24,8/3/2023,Cevahir AVM
I217650,3,15.69,10/2/2021,Forum Istanbul
I214129,1,300.08,10/5/2021,Metrocity
I300799,3,15.69,6/3/2022,Metropol AVM
I163771,4,143.36,29/03/2021,Mall of Istanbul
I252528,5,5250,4/10/2022,Cevahir AVM
I147387,5,1500.4,4/11/2021,Mall of Istanbul
I186255,1,300.08,8/11/2022,Kanyon
I308341,4,1200.32,17/05/2021,Istinye Park
I177664,3,121.98,16/06/2022,Kanyon
I278519,3,3150,24/09/2022,Cevahir AVM
I160636,4,162.64,4/4/2022,Metropol AVM
I306136,1,5.23,18/10/2022,Metrocity
I240224,1,5.23,16/10/2021,Mall of Istanbul
I227030,4,1200.32,17/05/2021,Istinye Park
I258204,1,300.08,3/2/2023,Emaar Square Mall
I231070,5,1500.4,15/11/2022,Forum Istanbul
I434983,2,23.46,29/07/2021,Istinye Park
I326925,4,143.36,17/07/2021,Kanyon
I183840,1,300.08,8/3/2022,Viaport Outlet
I533184,5,3000.85,22/09/2022,Zorlu Center
I735039,1,300.08,1/8/2022,Metropol AVM
I319997,5,1500.4,3/4/2021,Istinye Park
I228150,5,1500.4,21/11/2021,Zorlu Center
I215373,5,1500.4,17/09/2021,Kanyon
I275695,5,75.75,9/8/2022,Mall of Istanbul
I107255,1,11.73,8/9/2021,Metrocity
I301538,4,20.92,8/10/2021,Mall of Istanbul
I119469,1,300.08,3/3/2021,Metropol AVM
I678313,4,1200.32,26/12/2021,Zorlu Center
I264491,5,203.3,13/02/2023,Metropol AVM
I177957,4,1200.32,4/7/2021,Cevahir AVM
I188384,1,300.08,26/01/2021,Istinye Park
I527111,2,10.46,5/10/2022,Metropol AVM
I152252,5,75.75,5/4/2021,Mall of Istanbul
I131076,2,23.46,27/03/2021,Metrocity
I151031,5,58.65,21/11/2022,Mall of Istanbul
I638444,2,1200.34,21/02/2022,Metropol AVM
I884439,4,143.36,22/08/2022,Kanyon
I381853,3,121.98,6/12/2022,Emaar Square Mall
I104404,3,1800.51,25/03/2021,Kanyon
I926542,1,35.84,5/3/2021,Kanyon
I263473,3,1800.51,2/8/2021,Kanyon
I177317,4,20.92,16/04/2021,Mall of Istanbul
I941223,5,1500.4,3/2/2023,Emaar Square Mall
I323436,5,26.15,6/5/2022,Kanyon
I245250,1,600.17,5/2/2022,Mall of Istanbul
I589196,1,35.84,1/12/2022,Mall of Istanbul
I241028,2,600.16,16/12/2021,Emaar Square Mall
I846943,4,162.64,6/1/2023,Mall of Istanbul
I131492,3,15.69,8/12/2021,Kanyon
I252340,5,26.15,23/02/2021,Mall of Istanbul
I571614,4,46.92,7/1/2022,Istinye Park
I269945,1,5.23,14/02/2022,Kanyon
I293115,2,600.16,20/05/2022,Viaport Outlet
I180632,1,300.08,15/10/2021,Istinye Park
I946433,4,4200,2/2/2023,Kanyon
I557864,1,300.08,9/11/2021,Mall of Istanbul
I721903,2,10.46,9/1/2023,Mall of Istanbul
I995914,3,3150,22/11/2021,Metrocity
I423124,1,300.08,7/1/2023,Metrocity
I318626,3,121.98,23/09/2022,Istinye Park
I284431,4,4200,24/06/2022,Metropol AVM
I334469,5,179.2,4/7/2021,Kanyon
I568785,5,26.15,23/08/2021,Metropol AVM
I307376,5,26.15,11/8/2022,Metrocity
I136509,4,162.64,2/8/2021,Mall of Istanbul
I194798,2,2100,7/7/2022,Mall of Istanbul
I236520,3,107.52,13/02/2022,Viaport Outlet
I295482,3,1800.51,17/10/2022,Zorlu Center
I472275,4,162.64,14/11/2022,Metrocity
I301404,3,900.24,24/03/2021,Cevahir AVM
I100487,4,162.64,19/02/2021,Kanyon
I206026,1,15.15,12/11/2022,Forum Istanbul
I332620,2,81.32,13/04/2021,Mall of Istanbul
I434161,2,600.16,3/5/2021,Metropol AVM
I166306,3,900.24,24/04/2022,Viaport Outlet
I207389,3,900.24,17/12/2022,Kanyon
I237018,4,20.92,19/11/2022,Mall of Istanbul
I246114,5,179.2,22/09/2022,Metropol AVM
I216889,2,600.16,16/03/2022,Mall of Istanbul
I137065,4,20.92,1/1/2022,Mall of Istanbul
I284262,3,15.69,23/07/2021,Kanyon
I154122,1,40.66,22/12/2021,Metrocity
I950429,2,81.32,9/3/2022,Kanyon
I499170,1,35.84,20/02/2022,Kanyon
I253083,2,600.16,14/11/2021,Metrocity
I508173,3,121.98,23/01/2022,Metropol AVM
I763131,5,1500.4,16/01/2021,Mall of Istanbul
I149766,3,121.98,2/4/2022,Mall of Istanbul
I702817,5,75.75,16/10/2022,Kanyon
I208491,1,300.08,18/01/2023,Kanyon
I337030,2,10.46,27/09/2022,Metrocity
I312041,2,600.16,31/01/2022,Mall of Istanbul
I150629,3,900.24,10/12/2022,Kanyon
I197620,2,10.46,8/4/2022,Metrocity
I730771,5,1500.4,5/8/2022,Metrocity
I873382,4,2400.68,7/1/2023,Metrocity
I637675,4,1200.32,28/06/2021,Kanyon
I153278,2,71.68,4/6/2022,Mall of Istanbul
I842493,3,900.24,25/07/2021,Mall of Istanbul
I156991,2,10.46,14/02/2021,Emaar Square Mall
I722730,2,23.46,28/07/2022,Kanyon
I299533,3,15.69,9/9/2022,Kanyon
I187160,5,3000.85,19/03/2022,Kanyon
I101832,3,121.98,25/12/2022,Kanyon
I943403,1,35.84,20/09/2022,Mall of Istanbul
I454983,5,58.65,12/4/2022,Mall of Istanbul
I338302,4,162.64,3/10/2021,Viaport Outlet
I328822,3,15.69,13/06/2022,Metrocity
I168181,3,900.24,1/7/2021,Metrocity
I108543,5,1500.4,8/7/2022,Viaport Outlet
I120615,2,71.68,2/2/2022,Istinye Park
I248840,3,900.24,10/11/2022,Mall of Istanbul
I283774,1,35.84,1/1/2023,Istinye Park
I212305,1,15.15,6/11/2021,Emaar Square Mall
I111228,1,300.08,9/4/2021,Kanyon
I230558,2,81.32,31/07/2021,Kanyon
I130124,3,900.24,15/08/2022,Viaport Outlet
I221797,3,15.69,24/08/2021,Metrocity
I154490,5,1500.4,24/01/2022,Mall of Istanbul
I159376,2,10.46,14/06/2022,Metropol AVM
I214545,4,46.92,5/12/2021,Metropol AVM
I213589,2,2100,12/10/2021,Viaport Outlet
I101148,4,162.64,21/04/2022,Cevahir AVM
I186663,1,35.84,24/06/2021,Kanyon
I291062,4,162.64,5/3/2023,Kanyon
I103389,1,40.66,9/5/2021,Kanyon
I140596,2,81.32,11/9/2021,Metrocity
I115322,1,5.23,1/10/2021,Forum Istanbul
I273800,2,81.32,1/8/2021,Mall of Istanbul
I384332,1,40.66,4/9/2021,Metrocity
I268628,3,121.98,21/05/2021,Mall of Istanbul
I146305,2,10.46,11/7/2022,Kanyon
I648743,5,3000.85,2/1/2023,Mall of Istanbul
I148083,5,203.3,29/06/2021,Istinye Park
I733806,4,20.92,21/03/2021,Metropol AVM
I214007,4,143.36,25/03/2022,Metrocity
I480974,2,10.46,10/5/2021,Mall of Istanbul
I126095,5,26.15,24/03/2022,Metropol AVM
I100033,4,20.92,19/10/2021,Zorlu Center
I265860,4,20.92,15/03/2022,Mall of Istanbul
I512570,4,46.92,24/11/2022,Metrocity
I118757,1,300.08,21/07/2022,Kanyon
I313516,4,60.6,29/03/2021,Metrocity
I223795,3,900.24,26/12/2022,Metrocity
I254341,2,10.46,21/01/2023,Metropol AVM
I273435,4,20.92,6/11/2021,Emaar Square Mall
I127616,5,75.75,12/12/2021,Kanyon
I893043,5,1500.4,11/11/2022,Kanyon
I295712,2,10.46,25/06/2022,Mall of Istanbul
I162565,2,600.16,4/7/2022,Istinye Park
I300520,3,45.45,2/2/2023,Metrocity
I149473,3,900.24,30/01/2021,Kanyon
I936118,3,15.69,19/02/2023,Istinye Park
I242648,1,5.23,22/06/2022,Metrocity
I725938,3,121.98,16/10/2022,Metropol AVM
I299480,2,1200.34,9/12/2022,Metrocity
I134272,1,35.84,1/12/2022,Metropol AVM
I128518,1,600.17,6/9/2021,Mall of Istanbul
I293208,1,600.17,7/2/2022,Mall of Istanbul
I332003,2,81.32,16/12/2021,Cevahir AVM
I251779,5,179.2,12/3/2022,Zorlu Center
I334155,3,45.45,15/12/2022,Viaport Outlet
I724379,1,300.08,26/12/2021,Metropol AVM
I843249,4,162.64,4/1/2021,Kanyon
I292746,5,1500.4,27/04/2022,Viaport Outlet
I230701,2,600.16,19/02/2023,Emaar Square Mall
I230983,1,300.08,2/3/2023,Kanyon
I313187,4,46.92,28/01/2021,Kanyon
I206607,1,300.08,19/06/2021,Kanyon
I323928,3,121.98,16/07/2021,Cevahir AVM
I374693,2,10.46,3/11/2021,Istinye Park
